"ncbi_taxon_id","aphia_id","species_canonical","synonyms","subspecies","target_list_status","sequencing_status","status","publication_id","rank","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","modified","spec_code","order","family_x","Genus","authority","FBname","DemersPelag","Subfamily","depth_min_in_m","depth_max_in_m","common_depth_min","common_depth_max","length_max_in_cm","common_length_in_cm","weight_max_in_g","TempMin","TempMax"
7769,101170,"Myxine glutinosa","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,2513,"Myxiniformes","Myxinidae","Myxine","Linnaeus, 1758","Atlantic hagfish","bathydemersal","Myxininae",20,1200,27,460,95,30,NA,1.5,13
7748,101172,"Lampetra fluviatilis","[]","-","long_list","-","accepted","-","Species",1,1,1,0,NA,2017-08-09 06:21:34,4480,"Petromyzontiformes","Petromyzontidae","Lampetra","(Linnaeus, 1758)","River lamprey","demersal","Lampetrinae",10,NA,NA,NA,50,35,150,5,18
980415,101173,"Lethenteron camtschaticum","[]","-","long_list","-","accepted","-","Species",1,1,1,0,NA,2010-05-06 09:57:44,2524,"Petromyzontiformes","Petromyzontidae","Lethenteron","(Tilesius, 1811)","Arctic lamprey","demersal","Lampetrinae",0,50,NA,NA,63,16.0499992370605,200,5,18
7757,101174,"Petromyzon marinus","[]","-","long_list","-","accepted","-","Species",1,1,1,0,NA,2008-01-15 17:27:08,2530,"Petromyzontiformes","Petromyzontidae","Petromyzon","Linnaeus, 1758","Sea lamprey","demersal","Petromyzontinae",1,4099,NA,NA,120,60,2500,0.6,20
303933,105787,"Carcharhinus altimus","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,859,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Springer, 1950)","Bignose shark","reef-associated",NA,12,810,80,220,300,250,167800,NA,NA
263685,105788,"Carcharhinus brevipinna","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,865,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Müller & Henle, 1839)","Spinner shark","reef-associated",NA,0,100,0,NA,300,250,89700,NA,NA
202609,105789,"Carcharhinus falciformis","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,868,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Müller & Henle, 1839)","Silky shark","reef-associated",NA,0,4000,0,500,350,250,346000,NA,NA
671159,105790,"Carcharhinus galapagensis","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2008-01-15 17:27:08,870,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Snodgrass & Heller, 1905)","Galapagos shark","reef-associated",NA,1,286,30,180,370,300,85450,NA,NA
303934,105791,"Carcharhinus isodon","[]","-","long_list","-","accepted","-","Species",1,0,0,0,NA,2024-06-19 06:58:31,872,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Valenciennes, 1839)","Finetooth shark","demersal",NA,0,20,NA,NA,200,NA,NA,NA,NA
46612,105792,"Carcharhinus leucas","[]","-","long_list","data_generation","accepted","-","Species",1,1,1,0,NA,2024-06-19 06:58:31,873,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Valenciennes, 1839)","Bull shark","reef-associated",NA,1,164,1,30,360,260,316500,NA,NA
61865,105793,"Carcharhinus limbatus","[]","-","long_list","-","accepted","-","Species",1,1,0,0,NA,2024-06-19 06:58:31,874,"Carcharhiniformes","Carcharhinidae","Carcharhinus","(Valenciennes, 1839)","Blacktip shark","reef-associated",NA,0,140,0,30,286,150,122750,NA,NA
